Reserve,Reserve count (values),Genus_Species,Family,Genus,Species,ssp./var. designation,ssp./var. name,Division,Reserve count (formula),Synonym,Common Name,"Uncertainties in species ID, noted in original flora",Native/Exotic,Habitat (approx),Bloom Time (approx),,,,,,
Stebbins Cold Canyon,2,Calycanthus occidentalis,Calycanthaceae,Calycanthus,occidentalis,,,Angiosperm,2,,Spice bush,,,Moist canyon floors and streams,April-August,,,,,,
Boyd Deep Canyon,1,Calycoseris parryi,Asteraceae,Calycoseris,parryi,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Calycoseris parryi,Asteraceae,Calycoseris,parryi,,,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Calycoseris parryi,Asteraceae,Calycoseris,parryi,,,Angiosperm,3,,yellow tack-stem,,,,,,,,,,
Boyd Deep Canyon,1,Calycoseris wrightii,Asteraceae,Calycoseris,wrightii,,,Angiosperm,1,,,,,,,,,,,,
Angelo Coast Range,1,Calypso bulbosa,Orchidaceae,Calypso,bulbosa,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,1,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,3,,,,,,,,,,,,
James San Jacinto Mountains,4,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,4,,,,,,,,,,,,
Motte Rimrock,5,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,5,,  ,,,,,,,,,,
Sweeney Granite Mountains ,6,Calyptridium monandrum,Portulacaceae,Calyptridium,monandrum,,,Angiosperm,6,,common calyptridium,,,,,,,,,,
James San Jacinto Mountains,1,Calyptridium parryi,Portulacaceae,Calyptridium,parryi,,parryi,Angiosperm,1,,,,,,,,,,,,
McLaughlin,1,Calyptridium quadripetalum,Portulacaceae,Calyptridium,quadripetalum,,,Angiosperm,1,,,,,,,,,,,,
Chickering American River,1,Calyptridium umbellatum,Portulacaceae,Calyptridium,umbellatum,,,Angiosperm,1,,,,,,,,,,,,
Sagehen Creek,2,Calyptridium umbellatum,Portulacaceae,Calyptridium,umbellatum,,,Angiosperm,2,,,,,,,,,,,,
Valentine,3,Calyptridium umbellatum,Portulacaceae,Calyptridium,umbellatum,,,Angiosperm,3,,,,,Sierran Upper Montane Forest,,,,,,,
McLaughlin,1,Calystegia collina,Convolvulaceae,Calystegia,collina,,,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Calystegia collina,Convolvulaceae,Calystegia,collina,ssp.,venusta,Angiosperm,2,,,,,,,,,,,,
Carpinteria Salt Marsh,1,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,cyclostegia,Angiosperms,1,,Coast Morning-glory    ,,,,,,,,,,
Coal Oil Point,2,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,cyclostegia,Angiosperm,2,,Coastal Morning-glory,,,,,,,,,,
Dawson Los Monos Canyon,3,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,intermedia,Angiosperm,3,,,,,,,,,,,,
Dawson Los Monos Canyon,4,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,arida,Angiosperm,4,,,,,,,,,,,,
Elliot Chaparral,5,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,5,,,,,,,,,,,,
Elliot Chaparral,6,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,intermedia,Angiosperm,6,,,,,,,,,,,,
Elliot Chaparral,7,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,arida,Angiosperm,7,,,,,,,,,,,,
Landells-Hill Big Creek,8,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,8,,Coast Morning-Glory ,,,,,,,,,,
Motte Rimrock,9,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,9,,Western Bindweed ,,,,,,,,,,
Kenneth S Norris Rancho Marino,10,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,10,,Coast Morning Glory,,,,,,,,,,
Santa Cruz Island,11,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,11,,Island Morning-Glory   ,,Endemic,,,,,,,,
Scripps Coastal,12,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,,,Angiosperm,12,,,,,,,,,,,,
Sedgewick,13,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,intermedia,Angiosperm,13,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,14,Calystegia macrostegia,Convolvulaceae,Calystegia,macrostegia,ssp.,cyclostegia,Angiosperm,14,,,,,,,,,,,,
Blue Oak Ranch,1,Calystegia malacophylla,Convolvulaceae,Calystegia,malacophylla,ssp.,pedicellata,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Calystegia malacophylla,Convolvulaceae,Calystegia,malacophylla,,,Angiosperm,2,,,,,,,,,,,,
Sedgewick,3,Calystegia malacophylla,Convolvulaceae,Calystegia,malacophylla,ssp.,pedicellata,Angiosperm,3,,,,,,,,,,,,
Bodega,1,Calystegia occidentalis,Convolvulaceae,Calystegia,occidentalis,,,Angiosperm,1,,Morning glory,,native,,,,,,,,
Boyd Deep Canyon,2,Calystegia occidentalis,Convolvulaceae,Calystegia,occidentalis,ssp.,fulcrata,Angiosperm,2,C. f. ,,,,,,,,,,,
James San Jacinto Mountains,3,Calystegia occidentalis,Convolvulaceae,Calystegia,occidentalis,,fulcrata,Angiosperm,3,,,,,,,,,,,,
Stebbins Cold Canyon,4,Calystegia occidentalis,Convolvulaceae,Calystegia,occidentalis,,,Angiosperm,4,,,,,"Dry slopes, chaparral",May-June,,,,,,
Angelo Coast Range,1,Calystegia purpurata,Convolvulaceae,Calystegia,purpurata,ssp.,purpurata.,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Calystegia purpurata,Convolvulaceae,Calystegia,purpurata,ssp.,purpurata,Angiosperm,2,,,,,,,,,,,,
McLaughlin,3,Calystegia purpurata,Convolvulaceae,Calystegia,purpurata,ssp.,solanensis,Angiosperm,3,,,,,,,,,,,,
Quail Ridge,4,Calystegia purpurata,Convolvulaceae,Calystegia,purpurata,ssp.,purpurata,Angiosperm,4,,"Solano morning-glory,   ",,,,,,,,,,
Stebbins Cold Canyon,5,Calystegia purpurata,Convolvulaceae,Calystegia,purpurata,ssp.,purpurata,Angiosperm,5,,"Solano morning-glory, bindweed",,,Chaparral,May-July,,,,,,
Jepson Prairie,1,Calystegia sepium,Convolvulaceae,Calystegia,sepium,ssp.,limnophila,Angiosperm,1,,,,,,,,,,,,
San Joaquin Freshwater Marsh,2,Calystegia sepium,Convolvulaceae,Calystegia,sepium,,,Angiosperm,2,   ,,,,,,,,,,,
Bodega,1,Calystegia soldanella,Convolvulaceae,Calystegia,soldanella,,,Angiosperm,1,,Beach morning glory,,native,,,,,,,,
Coal Oil Point,2,Calystegia soldanella,Convolvulaceae,Calystegia,soldanella,,,Angiosperm,2,,Beach Morning-Glory,,,,,,,,,,
Blue Oak Ranch,1,Calystegia subacaulis,Convolvulaceae,Calystegia,subacaulis,ssp.,subacaulis,Angiosperm,1,,,,,,,,,,,,
Hastings,2,Calystegia subacaulis,Convolvulaceae,Calystegia,subacaulis,,,Angiosperm,2,,,,,,,,,,,,
Jepson Prairie,3,Calystegia subacaulis,Convolvulaceae,Calystegia,subacaulis,ssp.,subacaulis,Angiosperm,3,,,,,,,,,,,,
Sagehen Creek,1,Camassia quamash,Liliaceae,Camassia,quamash,,,Angiosperm,1,,,,,,,,,,,,
Dawson Los Monos Canyon,1,Camissonia bistorta,Onagraceae,Camissonia,bistorta,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Camissonia bistorta,Onagraceae,Camissonia,bistorta,,,Angiosperm,2,,,,,,,,,,,,
Motte Rimrock,3,Camissonia bistorta,Onagraceae,Camissonia,bistorta,,,Angiosperm,3,,Southern Sun Cup,,,,,,,,,,
Scripps Coastal,4,Camissonia bistorta,Onagraceae,Camissonia,bistorta,,,Angiosperm,4,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia boothii,Onagraceae,Camissonia,boothii,ssp.,condensata,Angiosperm,1,,,,,,,,,,,,
Sedgewick,2,Camissonia boothii,Onagraceae,Camissonia,boothii,ssp.,decorticans,Angiosperm,2,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,3,Camissonia boothii,Onagraceae,Camissonia,boothii,ssp.,decorticans,Angiosperm,3,,,,,,,,,,,,
Sweeney Granite Mountains ,4,Camissonia boothii,Onagraceae,Camissonia,boothii,var.,condensata,Angiosperm,4,,Booth's evening primrose,,,,,,,,,,
Sweeney Granite Mountains ,5,Camissonia boothii,Onagraceae,Camissonia,boothii,ssp.,intermedia,Angiosperm,5,,intermediate evening primrose,,,,,,,,,,
Sweeney Granite Mountains ,1,Camissonia brevipes,Onagraceae,Camissonia,brevipes,var.,brevipes,Angiosperm,1,,desert primrose,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia californica,Onagraceae,Camissonia,californica,,,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Camissonia californica,Onagraceae,Camissonia,californica,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,3,Camissonia californica,Onagraceae,Camissonia,californica,,,Angiosperm,3,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,4,Camissonia californica,Onagraceae,Camissonia,californica,,,Angiosperm,4,,,,,,,,,,,,
Sweeney Granite Mountains ,5,Camissonia californica,Onagraceae,Camissonia,californica,,,Angiosperm,5,,California primrose,,,,,,,,,,
Burns Pinon Ridge,1,Camissonia campestris,Onagraceae,Camissonia,campestris,ssp.,campestris,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Camissonia campestris,Onagraceae,Camissonia,campestris,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Camissonia campestris,Onagraceae,Camissonia,campestris,,,Angiosperm,3,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia cardiophylla,Onagraceae,Camissonia,cardiophylla,ssp.,cardiophylla,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia chamaeneroides,Onagraceae,Camissonia,chamaeneroides,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Camissonia chamaeneroides,Onagraceae,Camissonia,chamaeneroides,,,Angiosperm,2,,willow-herb primrose,,,,,,,,,,
Bodega,1,Camissonia cheiranthifolia,Onagraceae,Camissonia,cheiranthifolia,,,Angiosperm,1,,Beach primrose,,native,,,,,,,,
Carpinteria Salt Marsh,2,Camissonia cheiranthifolia,Onagraceae,Camissonia,cheiranthifolia,ssp.,suffruticosa,Angiosperms,2,,Beach Evening Primrose   ,,,,,,,,,,
Coal Oil Point,3,Camissonia cheiranthifolia,Onagraceae,Camissonia,cheiranthifolia,,,Angiosperm,3,,Beach Evening Primrose,,,,,,,,,,
Fort Ord,4,Camissonia cheiranthifolia,Onagraceae,Camissonia,cheiranthifolia,ssp.,cheiranthifolia,Angiosperm,4,,Beach primrose,,,,,,,,,,
Kendall-Frost Mission Bay Marsh,5,Camissonia cheiranthifolia,Onagraceae,Camissonia,cheiranthifolia,,,Angiosperm,5,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,yumae,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,2,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,piersonii,Angiosperm,2,,,,,,,,,,,,
Boyd Deep Canyon,3,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,aurantiaca,Angiosperm,3,,,,,,,,,,,,
Burns Pinon Ridge,4,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp. ,claviformis,Angiosperm,4,,,,,,,,,,,,
Burns Pinon Ridge,5,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,aurantiaca,Angiosperm,5,,,,,,,,,,,,
Sweeney Granite Mountains ,6,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,claviformis,Angiosperm,6,,clavate-fruited primrose,,,,,,,,,,
Sweeney Granite Mountains ,7,Camissonia claviformis,Onagraceae,Camissonia,claviformis,ssp.,aurantiaca,Angiosperm,7,,strigose clavate-fruited primrose,,,,,,,,,,
Hastings,1,Camissonia contorta,Onagraceae,Camissonia,contorta,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Camissonia graciliflora,Onagraceae,Camissonia,graciliflora,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Camissonia graciliflora,Onagraceae,Camissonia,graciliflora,,,Angiosperm,2,,,,,,,,,,,,
Sedgewick,3,Camissonia graciliflora,Onagraceae,Camissonia,graciliflora,,,Angiosperm,3,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,2,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,2,,,,,,,,,,,,
Hastings,3,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,3,,,,,,,,,,,,
James San Jacinto Mountains,4,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,4,,,,,,,,,,,,
Landells-Hill Big Creek,5,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,5,,Small Primrose ,,,,,,,,,,
McLaughlin,6,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,6,,,,,,,,,,,,
Quail Ridge,7,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,7,,    ,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,8,Camissonia hirtella,Onagraceae,Camissonia,hirtella,,,Angiosperm,8,,,,,,,,,,,,
Hastings,1,Camissonia ignota,Onagraceae,Camissonia,ignota,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,1,,,,,,,,,,,,
James San Jacinto Mountains,2,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,2,,,,,,,,,,,,
Landells-Hill Big Creek,3,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,3,,,,,,,,,,,,
McLaughlin,4,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,4,,,,,,,,,,,,
Motte Rimrock,5,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,5,,Sun Cup ,,,,,,,,,,
Sedgewick,6,Camissonia intermedia,Onagraceae,Camissonia,intermedia,,,Angiosperm,6,,,,,,,,,,,,
Burns Pinon Ridge,1,Camissonia kernensis,Onagraceae,Camissonia,kernensis,ssp.,kernensis,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Camissonia kernensis,Onagraceae,Camissonia,kernensis,ssp.,gilmanii,Angiosperm,2,,,,,,,,,,,,
Hastings,1,Camissonia luciae,Onagraceae,Camissonia,luciae,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,1,,,,native,,,,,,,,
Coal Oil Point,2,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,2,,Small Primrose,,,,,,,,,,
Elliot Chaparral,3,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,3,,,,,,,,,,,,
Hastings,4,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,4,,,,,,,,,,,,
Sedgewick,5,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,5,,,,,,,,,,,,
Stunt Ranch Santa Monica Mountains,6,Camissonia micrantha,Onagraceae,Camissonia,micrantha,,,Angiosperm,6,,,,,,,,,,,,
Fort Ord,1,Camissonia ovata,Onagraceae,Camissonia,ovata,,,Angiosperm,1,,Sun cups,,,,,,,,,,
McLaughlin,2,Camissonia ovata,Onagraceae,Camissonia,ovata,,,Angiosperm,2,,,,,,,,,,,,
Younger Lagoon,3,Camissonia ovata,Onagraceae,Camissonia,ovata,,,Angiosperm,3,,Suncups   ,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia pallida,Onagraceae,Camissonia,pallida,ssp.,hallii,Angiosperm,1,,,,,,,,,,,,
Burns Pinon Ridge,2,Camissonia pallida,Onagraceae,Camissonia,pallida,ssp.,hallii,Angiosperm,2,,,,,,,,,,,,
Sweeney Granite Mountains ,3,Camissonia pallida,Onagraceae,Camissonia,pallida,ssp.,pallida,Angiosperm,3,,pallid evening primrose,,,,,,,,,,
Burns Pinon Ridge,1,Camissonia palmeri,Onagraceae,Camissonia,palmeri,,,Angiosperm,1,,,,,,,,,,,,
Boyd Deep Canyon,1,Camissonia refracta,Onagraceae,Camissonia,refracta,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,2,Camissonia refracta,Onagraceae,Camissonia,refracta,,,Angiosperm,2,,refracted desert primrose,,,,,,,,,,
Dawson Los Monos Canyon,1,Camissonia robusta,Onagraceae,Camissonia,robusta,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Camissonia sp.,Onagraceae,Camissonia,sp.,,,Angiosperm,1,,,,,,,,,,,,
Bodega,1,Camissonia strigulosa,Onagraceae,Camissonia,strigulosa,,,Angiosperm,1,,,,native,,,,,,,,
Fort Ord,2,Camissonia strigulosa,Onagraceae,Camissonia,strigulosa,,,Angiosperm,2,,,,,,,,,,,,
Sagehen Creek,1,Camissonia subacaulis,Onagraceae,Camissonia,subacaulis,,,Angiosperm,1,,,,,,,,,,,,
Sweeney Granite Mountains ,1,Camissonia walkeri,Onagraceae,Camissonia,walkeri,ssp.,tortilis,Angiosperm,1,,Walker's primrose,,,,,,,,,,
McLaughlin,1,Campanula angustiflora,Campanulaceae,Campanula,angustiflora,,,Angiosperm,1,,,,,,,,,,,,
Blue Oak Ranch,1,Campanula exigua,Campanulaceae,Campanula,exigua,,,Angiosperm,1,,,,,,,,,,,,
Elliot Chaparral,1,Campanula griffinii,Campanulaceae,Campanula,griffinii,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Campanula griffinii,Campanulaceae,Campanula,griffinii,,,Angiosperm,2,,,,,,,,,,,,
Angelo Coast Range,1,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,3,,Shepard's purse,,introduced,,,,,,,,
Boyd Deep Canyon,4,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,4,,,,,,,,,,,,
Chickering American River,5,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,5,,,,,,,,,,,,
Dawson Los Monos Canyon,6,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,6,,,,,,,,,,,,
Hastings,7,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,7,,,,,,,,,,,,
Jepson Prairie,8,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,8,,,,,,,,,,,,
Landells-Hill Big Creek,9,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,9,,Shepherd`S Purse ,,,,,,,,,,
McLaughlin,10,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,10,,,,,,,,,,,,
Quail Ridge,11,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,11,,Shepherd’s-purse    ,,,,,,,,,,
Sedgewick,12,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,12,,,,,,,,,,,,
Stebbins Cold Canyon,13,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,13,,Shepherd's-purse,,Native to Europe,Disturbed sites,Flowers all year,,,,,,
Stunt Ranch Santa Monica Mountains,14,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,14,,,,Exotic,,,,,,,,
Sweeney Granite Mountains ,15,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,15,,shepard's purse,,,,,,,,,,
Valentine,16,Capsella bursa-pastoris,Brassicaceae,Capsella,bursa-pastoris,,,Angiosperm,16,,,,Exotic,Sierran Upper Montane Forest,,,,,,,
Chickering American River,1,Cardamine breweri,Brassicaceae,Cardamine,breweri,,,Angiosperm,1,,,,,,,,,,,,
Valentine,2,Cardamine breweri,Brassicaceae,Cardamine,breweri,var.,breweri,Angiosperm,2,,,,,Seep and Spring Vegetation,,,,,,,
Angelo Coast Range,1,Cardamine californica,Brassicaceae,Cardamine,californica,,,,1,,,,,,,,,,,,
Blue Oak Ranch,2,Cardamine californica,Brassicaceae,Cardamine,californica,var.,californica,Angiosperm,2,,,,,,,,,,,,
Bodega,3,Cardamine californica,Brassicaceae,Cardamine,californica,var.,sinuata,Angiosperm,3,,Milkmaids,,native,,,,,,,,
Dawson Los Monos Canyon,4,Cardamine californica,Brassicaceae,Cardamine,californica,,,Angiosperm,4,,,,,,,,,,,,
Hastings,5,Cardamine californica,Brassicaceae,Cardamine,californica,,,Angiosperm,5,,,,,,,,,,,,
Landells-Hill Big Creek,6,Cardamine californica,Brassicaceae,Cardamine,californica,,,Angiosperm,6,,"Toothwort, Milkmaids ",,,,,,,,,,
McLaughlin,7,Cardamine californica,Brassicaceae,Cardamine,californica,var.,sinuata,Angiosperm,7,,,,,,,,,,,,
Quail Ridge,8,Cardamine californica,Brassicaceae,Cardamine,californica,,,Angiosperm,8,,Milkmaids    ,,,,,,,,,,
Scripps Coastal,9,Cardamine californica,Brassicaceae,Cardamine,californica,,,Angiosperm,9,,,,,,,,,,,,
Sedgewick,10,Cardamine californica,Brassicaceae,Cardamine,californica,var.,integrifolia,Angiosperm,10,,,,,,,,,,,,
Stebbins Cold Canyon,11,Cardamine californica,Brassicaceae,Cardamine,californica,var.,integrifolia,Angiosperm,11,,"California toothwort, milkmaids",,,"Shaded sites, canyons, woods",February-April,,,,,,
Stunt Ranch Santa Monica Mountains,12,Cardamine californica,Brassicaceae,Cardamine,californica,var.,californica,Angiosperm,12,,,,,,,,,,,,
Angelo Coast Range,1,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,,1,,,,,,,,,,,,
Bodega,2,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,2,,Bitter cress,,native,,,,,,,,
Carpinteria Salt Marsh,3,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperms,3,,Few-seeded Bitter-Cress    ,,,,,,,,,,
Hastings,4,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,4,,,,,,,,,,,,
Jepson Prairie,5,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,5,,,,,,,,,,,,
Landells-Hill Big Creek,6,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,6,,Hill-Cress ,,,,,,,,,,
McLaughlin,7,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,7,,,,,,,,,,,,
Quail Ridge,8,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,8,,Annual bittercress   ,,,,,,,,,,
San Joaquin Freshwater Marsh,9,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,9,   ,,,,,,,,,,,
Stebbins Cold Canyon,10,Cardamine oligosperma,Brassicaceae,Cardamine,oligosperma,,,Angiosperm,10,,Annual bittercress,,,"Shady banks, creek bottoms",March-July,,,,,,
McLaughlin,1,Cardamine pachystegia,Brassicaceae,Cardamine,pachystegia,,,Angiosperm,1,,,,,,,,,,,,
Stebbins Cold Canyon,1,Cardamine pennsylvanica,Brassicaceae,Cardamine,pennsylvanica,,,Angiosperm,1,,Pennsylvania bittercress,,,"Shady banks, creek bottoms",May-June,,,,,,
McLaughlin,1,Cardaria chalepensis,Brassicaceae,Cardaria,chalepensis,,,Angiosperm,1,,,,,,,,,,,,
Hastings,1,Cardaria draba,Brassicaceae,Cardaria,draba,,,Angiosperm,1,,,,,,,,,,,,
McLaughlin,2,Cardaria draba,Brassicaceae,Cardaria,draba,,,Angiosperm,2,,,,,,,,,,,,
Stebbins Cold Canyon,3,Cardaria draba,Brassicaceae,Cardaria,draba,,,Angiosperm,3,,Hoary-cress,,Native to Europe,Disturbed sites,March-June,,,,,,
Bodega,1,Cardionema ramosissimum,Caryophyllaceae,Cardionema,ramosissimum,,,Angiosperm,1,,Sand mat,,native,,,,,,,,
Dawson Los Monos Canyon,2,Cardionema ramosissimum,Caryophyllaceae,Cardionema,ramosissimum,,,Angiosperm,2,,,,,,,,,,,,
Elliot Chaparral,3,Cardionema ramosissimum,Caryophyllaceae,Cardionema,ramosissimum,,,Angiosperm,3,,,,,,,,,,,,
Fort Ord,4,Cardionema ramosissimum,Caryophyllaceae,Cardionema,ramosissimum,,,Angiosperm,4,,Sand mat,,,,,,,,,,
Scripps Coastal,5,Cardionema ramosissimum,Caryophyllaceae,Cardionema,ramosissimum,,,Angiosperm,5,,,,,,,,,,,,
Blue Oak Ranch,1,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,1,,,,,,,,,,,,
Bodega,2,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,2,,Italian thistle,,introduced,,,,,,,,
Carpinteria Salt Marsh,3,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperms,3,,Italian Thistle    ,,,,,,,,,,
Coal Oil Point,4,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,4,,Italian Thistle,,,,,,,,,,
Fort Ord,5,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,5,,Italian thistle,,,,,,,,,,
Jepson Prairie,6,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,6,,,,,,,,,,,,
Landells-Hill Big Creek,7,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,7,,Italian thistle,,,,,,,,,,
McLaughlin,8,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,8,,,,,,,,,,,,
Quail Ridge,9,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,9,,Italian thistle   ,,,,,,,,,,
Kenneth S Norris Rancho Marino,10,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,10,,Italian Thistle,,,,,,,,,,
Stebbins Cold Canyon,11,Carduus pycnocephalus,Asteraceae,Carduus,pycnocephalus,,,Angiosperm,11,,Italian thistle,,Native to southern Europe,"Pastures, waste areas",May-July,,,,,,
Bodega,1,Carduus tenuiflorus,Asteraceae,Carduus,tenuiflorus,,,Angiosperm,1,,Slender-flowered thistle,,introduced,,,,,,,,
